"","dt","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3"
"1",1606489200,1,208.62,0,2.53,60.08,1.13,0.86,1.05,0.6
"2",1606492800,1,208.62,0,2.72,58.65,1.19,0.88,1.05,0.6
"3",1606496400,1,208.62,0,2.74,57.94,1.24,0.87,1.02,0.59
"4",1606500000,1,208.62,0,2.55,57.94,1.22,0.82,0.95,0.55
"5",1606503600,1,208.62,0,2.4,57.94,1.24,0.79,0.92,0.55
"6",1606507200,1,210.29,0,2.38,57.94,1.28,0.78,0.91,0.54
"7",1606510800,1,210.29,0,2.36,58.65,1.31,0.75,0.88,0.53
"8",1606514400,1,210.29,0,2.31,59.37,1.31,0.71,0.84,0.52
"9",1606518000,1,210.29,0,2.29,59.37,1.33,0.69,0.83,0.55
"10",1606521600,1,210.29,0,2.38,58.65,1.39,0.7,0.86,0.64
"11",1606525200,1,210.29,0.16,2.46,57.94,1.43,0.71,0.87,0.79
"12",1606528800,1,208.62,0.44,2.38,57.94,1.42,0.71,0.87,0.9
"13",1606532400,1,205.28,0.6,2.19,59.37,1.34,0.69,0.85,0.91
"14",1606536000,1,200.27,0.61,1.97,62.94,1.25,0.68,0.82,0.87
"15",1606539600,1,200.27,0.59,2.14,62.94,1.3,0.77,0.92,0.9
"16",1606543200,1,200.27,0.47,2.42,62.94,1.31,0.81,0.96,0.9
"17",1606546800,1,200.27,0.23,2.57,65.09,1.22,0.78,0.93,0.82
"18",1606550400,1,201.94,0.02,2.74,65.8,1.19,0.77,0.94,0.84
"19",1606554000,1,203.61,0,2.83,65.09,1.33,0.81,1,0.93
"20",1606557600,1,205.28,0,2.87,64.37,1.46,0.83,1.04,1.01
"21",1606561200,1,206.95,0,2.66,64.37,1.46,0.81,1.03,1.05
"22",1606564800,1,206.95,0,2.36,65.09,1.37,0.78,1.01,1.05
"23",1606568400,1,206.95,0,2.31,64.37,1.34,0.8,1.03,1.09
"24",1606572000,1,208.62,0,2.44,63.66,1.39,0.88,1.11,1.22
"25",1606575600,1,208.62,0,2.53,63.66,1.42,0.96,1.18,1.28
"26",1606579200,1,208.62,0,2.64,64.37,1.42,0.99,1.2,1.31
"27",1606582800,1,206.95,0,2.79,64.37,1.43,1.03,1.22,1.33
"28",1606586400,1,206.95,0,2.79,65.09,1.43,1.05,1.22,1.28
"29",1606590000,1,206.95,0,2.74,66.52,1.42,1.04,1.2,1.19
"30",1606593600,1,205.28,0,2.61,67.95,1.4,1,1.15,1.05
"31",1606597200,1,205.28,0,2.44,69.38,1.36,0.93,1.06,0.9
"32",1606600800,1,205.28,0,2.29,70.1,1.33,0.88,1,0.77
"33",1606604400,1,205.28,0,2.25,69.38,1.36,0.87,1,0.71
"34",1606608000,1,206.95,0,2.36,67.95,1.42,0.9,1.04,0.72
"35",1606611600,1,206.95,0.13,2.46,67.23,1.45,0.89,1.05,0.74
"36",1606615200,1,205.28,0.38,2.44,67.95,1.45,0.87,1.03,0.78
"37",1606618800,1,203.61,0.54,2.34,70.1,1.43,0.85,1,0.77
"38",1606622400,1,200.27,0.53,2.1,73.67,1.4,0.78,0.9,0.73
"39",1606626000,1,200.27,0.52,2.25,74.39,1.49,0.83,0.94,0.78
"40",1606629600,1,198.6,0.42,2.59,75.1,1.52,0.88,0.99,0.83
"41",1606633200,1,196.93,0.21,2.87,75.82,1.49,0.86,0.98,0.86
"42",1606636800,1,198.6,0.02,3.17,75.1,1.54,0.87,1.01,1
"43",1606640400,1,201.94,0,3.13,72.96,1.62,0.81,0.95,1.12
"44",1606644000,1,203.61,0,2.87,71.53,1.61,0.66,0.8,1.01
"45",1606647600,1,203.61,0,2.57,70.81,1.52,0.55,0.68,0.85
"46",1606651200,1,203.61,0,2.46,70.81,1.43,0.5,0.64,0.72
"47",1606654800,1,203.61,0,2.53,70.81,1.3,0.5,0.63,0.67
"48",1606658400,1,205.28,0,2.72,70.1,1.22,0.56,0.68,0.67
"49",1606662000,1,206.95,0,2.87,68.67,1.19,0.66,0.77,0.68
"50",1606665600,1,208.62,0,2.87,67.95,1.19,0.68,0.79,0.65
"51",1606669200,1,208.62,0,2.72,67.23,1.22,0.65,0.73,0.59
"52",1606672800,1,210.29,0,2.57,66.52,1.27,0.57,0.64,0.54
"53",1606676400,1,210.29,0,2.42,65.8,1.31,0.5,0.55,0.48
"54",1606680000,1,208.62,0,2.29,65.09,1.33,0.5,0.54,0.41
"55",1606683600,1,208.62,0,2.21,65.09,1.31,0.5,0.53,0.36
"56",1606687200,1,206.95,0,2.08,65.09,1.22,0.5,0.53,0.34
"57",1606690800,1,206.95,0,1.93,65.8,1.13,0.5,0.54,0.33
"58",1606694400,1,208.62,0,1.82,65.8,1.09,0.5,0.56,0.34
"59",1606698000,1,206.95,0.09,1.78,65.8,1.06,0.5,0.58,0.35
"60",1606701600,1,206.95,0.26,1.65,66.52,1.01,0.5,0.59,0.35
"61",1606705200,1,206.95,0.34,1.44,67.23,0.95,0.5,0.59,0.32
"62",1606708800,1,205.28,0.29,1.07,70.1,0.79,0.5,0.57,0.24
"63",1606712400,1,205.28,0.21,0.9,72.24,0.68,0.5,0.57,0.2
"64",1606716000,1,203.61,0.13,0.8,74.39,0.58,0.5,0.56,0.18
"65",1606719600,1,201.94,0.06,0.78,76.53,0.51,0.5,0.57,0.18
"66",1606723200,1,201.94,0.01,0.91,76.53,0.55,0.5,0.59,0.21
"67",1606726800,1,201.94,0,1.03,74.39,0.64,0.5,0.61,0.25
"68",1606730400,1,201.94,0,1.14,72.96,0.72,0.5,0.63,0.28
"69",1606734000,1,203.61,0,1.32,71.53,0.85,0.5,0.67,0.34
"70",1606737600,1,203.61,0,1.59,70.81,1.04,0.5,0.71,0.41
"71",1606741200,1,203.61,0,1.8,70.81,1.18,0.52,0.74,0.52
"72",1606744800,1,203.61,0,2.04,70.1,1.36,0.55,0.78,0.76
